Fri Apr  1 09:37:05 CST 2022

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017a (9.2.0.538062) 64-bit (glnxa64)
                             February 23, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

audio_files_root =

    './results/test/audio/re_record/20/*.wav'

srun: Job step aborted: Waiting up to 32 seconds for job step to finish.
slurmstepd: error: *** STEP 141275.0 ON wmc-slave-g13 CANCELLED AT 2022-04-01T09:37:30 ***
slurmstepd: error: *** JOB 141275 ON wmc-slave-g13 CANCELLED AT 2022-04-01T09:37:30 ***
3576 2 2 55 
3579 2 2 58 
3583 34 34 56 
3588 34 34 54 
3589 2 2 54 
3595 34 34 52 
3597 2 2 51 
3600 2 2 52 
3603 2 2 52 
3604 2 2 54 
3606 2 2 54 
3610 2 2 54 
3620 34 34 54 
3628 2 2 56 
3630 2 2 54 
3634 2 2 51 
3635 2 2 59 
3641 2 2 58 
3644 34 34 58 
3645 34 34 56 
3648 34 34 56 
3657 2 2 55 
3663 2 2 54 
3664 2 2 53 
3667 18 18 57 
3672 34 34 53 
3673 18 18 51 
3677 2 2 56 
3679 2 2 49 
3685 2 2 54 
3686 34 34 56 
3699 18 18 59 
3718 2 2 52 
3807 2 2 49 
3981 58 58 57 
92 59 59 63 
1019 26 26 59 
1098 58 58 59 
2766 50 50 60 
2769 50 50 60 
2771 50 50 59 
2774 50 50 62 
2780 50 50 60 
2782 50 50 61 
2786 50 50 60 
2788 50 50 60 
2792 50 50 62 
2795 50 50 58 
2805 50 50 61 
2807 50 50 61 
2816 34 34 53 
2821 34 34 55 
2834 50 50 57 
2835 50 50 63 
2839 34 34 59 
2840 34 34 59 
2841 34 34 57 
2843 50 50 63 
2846 34 34 58 
2848 34 34 61 
2849 34 34 60 
2860 34 34 59 
2864 34 34 57 
2869 34 34 58 
2882 34 34 55 
2884 34 34 56 
2926 34 34 57 
2998 50 50 62 
3009 50 50 57 
3013 50 50 60 
3019 50 50 61 
3023 50 50 62 
3024 50 50 61 
3025 50 50 60 
3031 50 50 60 
3058 50 50 57 
3060 50 50 59 
3062 50 50 60 
3064 50 50 56 
